"iet_name";"iet_istypedby";"isc_name";"isc_version"
IfcAlarm/WHISTLE;IfcAlarmType/WHISTLE;IFC4X3_ADD1;"4.3.1.0"
IfcAlarm/USERDEFINED;IfcAlarmType/USERDEFINED;IFC4X3_ADD1;"4.3.1.0"
IfcAlarm/NOTDEFINED;IfcAlarmType/NOTDEFINED;IFC4X3_ADD1;"4.3.1.0"
IfcMember/USERDEFINED;IfcMemberType/USERDEFINED;IFC4;"4.0.2.1"
IfcAudioVisualAppliance/AMPLIFIER;IfcAudioVisualApplianceType/AMPLIFIER;IFC4X3_ADD1;"4.3.1.0"
IfcAudioVisualAppliance/CAMERA;IfcAudioVisualApplianceType/CAMERA;IFC4X3_ADD1;"4.3.1.0"
IfcAudioVisualAppliance/COMMUNICATIONTERMINAL;IfcAudioVisualApplianceType/COMMUNICATIONTERMINAL;IFC4X3_ADD1;"4.3.1.0"
IfcProcedure/CALIBRATION;IfcProcedureType/CALIBRATION;IFC4;"4.0.2.1"
IfcAudioVisualAppliance/MICROPHONE;IfcAudioVisualApplianceType/MICROPHONE;IFC4X3_ADD1;"4.3.1.0"
IfcAudioVisualAppliance/PLAYER;IfcAudioVisualApplianceType/PLAYER;IFC4X3_ADD1;"4.3.1.0"
IfcAudioVisualAppliance/PROJECTOR;IfcAudioVisualApplianceType/PROJECTOR;IFC4X3_ADD1;"4.3.1.0"
IfcBeam/HATSTONE;IfcBeamType/HATSTONE;IFC4X3_ADD1;"4.3.1.0"
IfcAudioVisualAppliance/RECEIVER;IfcAudioVisualApplianceType/RECEIVER;IFC4X3_ADD1;"4.3.1.0"
IfcAudioVisualAppliance/RECORDINGEQUIPMENT;IfcAudioVisualApplianceType/RECORDINGEQUIPMENT;IFC4X3_ADD1;"4.3.1.0"
IfcAudioVisualAppliance/SPEAKER;IfcAudioVisualApplianceType/SPEAKER;IFC4X3_ADD1;"4.3.1.0"
IfcAudioVisualAppliance/USERDEFINED;IfcAudioVisualApplianceType/USERDEFINED;IFC4X3_ADD1;"4.3.1.0"
IfcAudioVisualAppliance/NOTDEFINED;IfcAudioVisualApplianceType/NOTDEFINED;IFC4X3_ADD1;"4.3.1.0"
IfcBeam/BEAM;IfcBeamType/BEAM;IFC4X3_ADD1;"4.3.1.0"
IfcBeam/CORNICE;IfcBeamType/CORNICE;IFC4X3_ADD1;"4.3.1.0"
IfcBeam/GIRDER_SEGMENT;IfcBeamType/GIRDER_SEGMENT;IFC4X3_ADD1;"4.3.1.0"
IfcSpatialElement;IfcSpatialElementType;IFC4;"4.0.2.1"
IfcBeam/HOLLOWCORE;IfcBeamType/HOLLOWCORE;IFC4X3_ADD1;"4.3.1.0"
IfcBeam/JOIST;IfcBeamType/JOIST;IFC4X3_ADD1;"4.3.1.0"
IfcBeam/LINTEL;IfcBeamType/LINTEL;IFC4X3_ADD1;"4.3.1.0"
IfcElement;IfcElementType;IFC4;"4.0.2.1"
IfcElementComponent;IfcElementComponentType;IFC4;"4.0.2.1"
IfcFan/CENTRIFUGALRADIAL;IfcFanType/CENTRIFUGALRADIAL;IFC4;"4.0.2.1"
IfcPile/COHESION;IfcPileType/COHESION;IFC4;"4.0.2.1"
IfcElement;IfcElementType;IFC4X1;"4.1.0.0"
